openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606431780000,17083.38,17083.38,17036.81,17043.39,46.604644,1606431839999,795294.52260401,1409,16.034899,273662.49845031,0
1606431840000,17043.39,17067.26,17038.95,17040.33,48.605135,1606431899999,829043.17056957,1071,24.677541,420945.63838698,0
1606431900000,17042.49,17058.99,17010.0,17034.93,58.51270699999999,1606431959999,996449.82312773,1573,33.212848,565519.4154111999,0
1606431960000,17034.93,17059.15,17016.79,17031.28,34.779799,1606432019999,592563.13745873,1082,15.25639,259984.1752269,0
1606432020000,17031.28,17034.9,17018.33,17020.56,23.650233,1606432079999,402643.94483521,940,10.108522,172100.22250455,0
1606432080000,17020.94,17061.65,17019.99,17037.45,44.69716,1606432139999,761601.63476537,868,29.232066,498072.77495315,0
1606432140000,17037.45,17059.16,17025.79,17033.92,35.271343,1606432199999,601243.17220977,759,13.421156,228774.99820617,0
1606432200000,17033.92,17040.53,17019.64,17031.33,33.039596,1606432259999,562558.63329351,872,20.240514,344602.95744719,0
1606432260000,17031.34,17070.95,17029.74,17070.95,42.989758,1606432319999,732943.88050337,1059,24.103744,410944.81423696,0
1606432320000,17070.94,17070.95,17030.0,17031.98,45.322847,1606432379999,772471.02479556,847,27.557737,469586.9514607,0
1606432380000,17031.98,17043.23,17020.34,17022.62,21.753232,1606432439999,370441.49071378,595,9.330436,158888.31275578,0
1606432440000,17022.62,17059.16,17010.8,17052.67,48.231548,1606432499999,821304.05636037,793,10.51602,179104.42031812,0
1606432500000,17052.67,17068.29,17036.14,17058.59,34.373143,1606432559999,586252.51302192,806,14.745083,251450.65124061,0
1606432560000,17058.59,17072.8,17040.59,17041.33,27.375183000000003,1606432619999,467067.8718022,889,12.919304,220430.16668526,0
1606432620000,17040.95,17044.06,16987.62,16987.62,47.341985,1606432679999,805529.24539895,1154,16.026367999999998,272739.47512559,0
1606432680000,16987.63,17010.0,16807.69,16945.0,364.14317,1606432739999,6160720.04586729,4018,142.378047,2413077.82620851,0
1606432740000,16945.0,16987.86,16945.0,16984.95,51.540816,1606432799999,874618.90727994,999,30.651518,520132.44770739,0
1606432800000,16984.94,17037.0,16982.64,17027.5,77.242918,1606432859999,1313857.04338945,1342,52.817625,898416.08169666,0
1606432860000,17027.51,17052.63,17023.69,17033.17,42.497042,1606432919999,724051.17705232,1059,27.564267,469588.35478614,0
1606432920000,17033.16,17050.73,17032.5,17046.65,41.139646,1606432979999,701137.98395919,772,14.266522,243120.52936862,0
1606432980000,17046.65,17046.89,17032.06,17042.09,22.833103,1606433039999,389052.91535265,495,13.589957,231550.38391694,0
1606433040000,17042.09,17042.09,17016.16,17020.88,20.361477,1606433099999,346701.14743192,573,9.940882,169259.65295725,0
1606433100000,17020.89,17060.0,17020.89,17052.96,41.006868,1606433159999,698610.01142425,844,23.85336,406337.88518985,0
1606433160000,17052.97,17089.09,17046.73,17077.48,50.068435,1606433219999,854744.90290441,1074,26.856855,458397.5419001,0
1606433220000,17076.91,17103.0,17070.79,17102.99,32.565826,1606433279999,556440.41032161,1038,18.74712,320383.95242392,0
1606433280000,17103.0,17114.87,17081.29,17114.86,65.852988,1606433339999,1126078.87264392,1053,20.390145,348733.34838977,0
1606433340000,17114.86,17121.1,17106.1,17120.12,37.885112,1606433399999,648337.13332909,758,23.822373,407651.47139133,0
1606433400000,17120.13,17143.93,17110.71,17130.61,49.897987,1606433459999,854577.22262599,1016,38.301826,656026.86597067,0
1606433460000,17130.62,17130.62,17095.78,17099.55,23.552838,1606433519999,403094.54510016,685,12.834901,219692.57126362,0
1606433520000,17099.56,17125.0,17094.12,17108.99,16.963115,1606433579999,290208.16800498,680,10.559539,180659.54105109,0
1606433580000,17109.0,17140.13,17109.0,17129.05,13.34004,1606433639999,228432.3492405,576,6.686319,114490.61671661,0
1606433640000,17129.06,17145.0,17111.36,17136.37,44.253746,1606433699999,758240.25737,747,19.938926,341540.17183512,0
1606433700000,17136.36,17141.87,17112.69,17118.35,26.190733,1606433759999,448685.49823043,954,9.728048,166665.2007551,0
1606433760000,17118.36,17140.0,17113.34,17127.66,32.2684,1606433819999,552725.69036576,745,18.88492,323473.55029039,0
1606433820000,17127.67,17128.28,17107.86,17113.24,30.847055,1606433879999,528091.89684403,520,19.373618,331733.51929115,0
1606433880000,17113.23,17127.46,17089.03,17127.31,38.67478,1606433939999,661547.77047732,861,18.391304,314610.98843135,0
1606433940000,17127.17,17154.37,17126.0,17146.86,27.356902,1606433999999,468911.87450977,860,15.423518,264393.42931587,0
1606434000000,17146.86,17152.07,17123.15,17125.08,34.964063,1606434059999,599371.33047329,669,15.996342000000002,274251.11763385,0
1606434060000,17125.08,17137.57,17103.15,17118.71,20.979424,1606434119999,359124.74971862,614,8.854412,151576.9922875,0
1606434120000,17118.7,17138.4,17118.7,17130.0,23.716275,1606434179999,406290.76356117,764,12.168662,208460.3803383,0
1606434180000,17129.99,17132.36,17111.88,17112.47,20.486933,1606434239999,350715.36526891,507,12.084612,206881.26564695,0
1606434240000,17112.47,17142.92,17111.89,17141.14,28.963322,1606434299999,496266.28849717,764,10.226362,175197.40754847,0
1606434300000,17141.13,17150.53,17136.97,17143.04,23.86214,1606434359999,409144.44653521,623,11.534628,197761.21788413,0
1606434360000,17143.05,17144.38,17100.0,17102.77,36.72789,1606434419999,628956.34694367,784,13.266381,227151.78942525,0
1606434420000,17102.77,17103.28,17061.0,17080.38,50.81663,1606434479999,868045.46407667,1368,22.90096,391189.4781685,0
1606434480000,17080.39,17087.91,17067.69,17080.71,24.881831,1606434539999,424983.22515582,671,13.477652,230189.58054436,0
1606434540000,17080.7,17085.31,17049.93,17061.6,42.474479,1606434599999,724815.02495376,727,25.367066,432868.23953915,0
1606434600000,17061.6,17069.16,17051.93,17068.35,24.978811,1606434659999,426116.30948116,567,12.551927,214138.11742733,0
1606434660000,17068.36,17069.16,17044.06,17056.44,25.535185,1606434719999,435593.5852739,596,12.136675,207037.94385278,0
1606434720000,17056.44,17072.23,17051.51,17072.23,27.223454,1606434779999,464376.69311491,545,19.086518,325588.13863889,0
1606434780000,17072.23,17080.01,17065.73,17072.1,16.699761,1606434839999,285120.69485566,506,10.155926,173393.11068075,0
1606434840000,17072.1,17080.5,17044.06,17047.88,22.637201,1606434899999,386364.70212785,521,9.415476,160692.15558159,0
1606434900000,17047.89,17074.33,17038.0,17071.87,52.021256,1606434959999,887238.90503906,669,12.549368,214035.24229047,0
1606434960000,17071.88,17118.0,17065.67,17117.99,38.179083,1606435019999,652716.44839206,1001,24.183307,413446.09953272,0
1606435020000,17118.0,17138.4,17108.44,17138.38,23.98815,1606435079999,410685.34290079,706,17.425002,298338.00069224,0
1606435080000,17138.39,17147.82,17133.23,17141.8,31.870996,1606435139999,546289.98575094,999,22.493638,385545.91264737,0
