openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606379520000,4.5451,4.5489,4.5032,4.5125,67571.91,1606379579999,304924.471135,507,39954.87,180204.356783,0
1606379580000,4.5137,4.5772,4.503,4.5484,144497.16,1606379639999,652663.913039,890,110347.31,498221.976911,0
1606379640000,4.5436,4.6067,4.5336,4.5710000000000015,59143.19,1606379699999,270102.963289,569,32793.14,149956.23578699998,0
1606379700000,4.5709,4.5999,4.5654,4.5897,29534.94,1606379759999,135429.80516199998,335,15366.86,70477.612656,0
1606379760000,4.5898,4.606,4.5805,4.5905,61996.68,1606379819999,285036.794993,321,13124.59,60321.855964,0
1606379820000,4.5877,4.5877,4.5448,4.5478,29146.23,1606379879999,133041.128718,311,5832.5,26645.921134,0
1606379880000,4.5478,4.6,4.5439,4.5993,26941.85,1606379939999,123351.141613,327,21646.59,99083.043988,0
1606379940000,4.5955,4.5955,4.5528,4.5677,31732.49,1606379999999,145153.794854,340,11307.55,51738.507779,0
1606380000000,4.5668,4.5807,4.5532,4.577,21190.56,1606380059999,96801.079701,234,13335.73,60947.07012999999,0
1606380060000,4.5775,4.606,4.5755,4.606,29600.59,1606380119999,135773.196275,188,15144.36,69515.569617,0
1606380120000,4.6056,4.6478,4.603,4.6312,78815.52,1606380179999,365304.870539,418,40966.64,189674.054549,0
1606380180000,4.6297,4.6306,4.6167,4.6276,17107.78,1606380239999,79082.678248,181,7820.13,36161.044426,0
1606380240000,4.6262,4.6292,4.6021,4.6021,26779.43,1606380299999,123706.54208,244,10471.35,48390.437942,0
1606380300000,4.6032,4.6032,4.588,4.5913,10501.7,1606380359999,48275.09436,147,5251.89,24143.945498,0
1606380360000,4.5905,4.6110000000000015,4.5875,4.5881,17008.28,1606380419999,78214.902664,176,7480.06,34410.258044,0
1606380420000,4.588,4.6004,4.5636,4.5639,28829.93,1606380479999,132048.09294,310,11304.68,51840.853589,0
1606380480000,4.5636,4.591,4.55,4.5784,27203.69,1606380539999,124454.610538,268,13968.36,63900.400743,0
