openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606379520000,2.9013,2.9108,2.8623,2.9002,205013.21,1606379579999,591505.265031,1239,69079.53,199263.90138,0
1606379580000,2.8979,2.9924,2.8960000000000004,2.9697,191273.91,1606379639999,562208.321866,1298,109110.66,321193.569467,0
1606379640000,2.9675,2.9714,2.9332,2.9578,203833.87,1606379699999,602021.941976,1117,97142.45,286852.783123,0
1606379700000,2.959,2.9867,2.9474,2.9605,133207.27,1606379759999,395191.031091,828,67292.76,199601.336688,0
1606379760000,2.9647,2.98,2.9484,2.9631,88292.45,1606379819999,261800.479531,715,48544.38,143887.482981,0
1606379820000,2.9622,2.9658,2.9165,2.92,83030.04,1606379879999,244585.899723,604,39242.77,115619.808241,0
1606379880000,2.9186,2.9585,2.9186,2.9475,81150.79,1606379939999,238759.22995,587,47914.07,140854.267689,0
1606379940000,2.9476,2.9513,2.9269,2.9292,74006.5,1606379999999,217337.059835,506,37595.88,110430.903904,0
1606380000000,2.9292,2.9462,2.9237,2.9455,98988.34,1606380059999,290586.97356,546,51521.97,151274.14271,0
1606380060000,2.9452,2.9634,2.9369,2.9577,75246.46,1606380119999,221827.332827,532,38832.01,114536.805528,0
1606380120000,2.9576,2.98,2.9571,2.975,98904.92,1606380179999,293886.84978000005,524,40390.45,120049.353612,0
1606380180000,2.9751,2.9796,2.9618,2.9794,85078.74,1606380239999,252710.764449,478,46538.55,138233.43646700002,0
1606380240000,2.9794,2.9863,2.9693,2.9752,52523.96,1606380299999,156301.531467,594,33457.71,99592.901841,0
1606380300000,2.9748,2.9781,2.9633,2.971,45572.03,1606380359999,135365.200021,499,23903.23,71007.237559,0
1606380360000,2.9712,2.9903,2.9706,2.9775,72410.73,1606380419999,215909.851544,494,34102.17,101672.541931,0
1606380420000,2.9774,2.9877,2.963,2.9653,70381.44,1606380479999,209689.944802,427,26961.18,80340.518807,0
1606380480000,2.9643,2.9841,2.9575,2.969,96434.34,1606380539999,286500.999407,440,36814.71,109418.217583,0
1606380540000,2.9685,2.9836,2.967,2.967,88128.6,1606380599999,262338.719749,478,39534.66,117712.512669,0
1606380600000,2.9672,2.971,2.9469,2.9647,108562.82,1606380659999,321575.712973,553,48586.08,143971.385475,0
1606380660000,2.9643,2.9668,2.9188,2.957,148445.58,1606380719999,436945.389068,790,59201.74,174226.90145799998,0
1606380720000,2.957,2.9737,2.9379,2.9689,109848.65,1606380779999,324998.785777,759,43009.37,127199.849633,0
1606380780000,2.9688,2.988,2.9632,2.9723,84547.54,1606380839999,251444.620299,647,38678.63,115016.71933,0
1606380840000,2.968,2.977,2.9527,2.9658,82437.48,1606380899999,244455.481294,588,45111.58,133811.031243,0
1606380900000,2.9685,2.9930000000000003,2.9571,2.9894,109119.53,1606380959999,324618.137441,563,67899.13,201954.279989,0
1606380960000,2.986,3.0123,2.9837,3.0046,85392.51,1606381019999,256346.851024,470,52730.83,158374.95923900002,0
1606381020000,3.0042,3.0345,2.9977,3.026,109409.76,1606381079999,330058.935673,786,67410.61,203433.055016,0
1606381080000,3.0223,3.0316,3.0001,3.0134,141606.73,1606381139999,427113.939181,772,70745.17,213375.504962,0
