openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606379520000,11.9835,11.9891,11.7,11.8605,105625.43,1606379579999,1247380.151874,1893,42344.76,500211.778852,0
1606379580000,11.8347,12.1,11.8026,12.054,56582.72,1606379639999,676243.4289739999,1205,33839.99,404700.065739,0
1606379640000,12.0459,12.1571,12.0195,12.1279,57250.19,1606379699999,691185.535144,1042,22903.37,276711.402529,0
1606379700000,12.1344,12.2561,12.0991,12.2126,40519.26,1606379759999,494368.01595,777,23367.37,285260.891084,0
1606379760000,12.2179,12.2799,12.154000000000002,12.2005,39198.38,1606379819999,478605.660682,840,17683.02,215986.21119499998,0
1606379820000,12.2005,12.2196,12.0339,12.0339,22911.98,1606379879999,278027.504908,650,7350.98,89319.23554299997,0
1606379880000,12.0372,12.1988,12.0306,12.1441,36682.88,1606379939999,445213.69271599996,927,23465.32,284754.878862,0
1606379940000,12.1448,12.1493,12.0447,12.0777,35628.88,1606379999999,430879.701225,868,12344.23,149339.34558599998,0
1606380000000,12.0724,12.12,11.9448,12.0316,61219.74,1606380059999,737185.5957180002,1142,27476.7,331189.583664,0
1606380060000,12.0185,12.0789,11.9675,12.057,45968.92,1606380119999,552375.469231,657,26243.93,315290.17161799996,0
1606380120000,12.0597,12.1577,12.0594,12.1176,36694.36,1606380179999,444425.867125,714,18581.44,225075.13668899998,0
1606380180000,12.1178,12.1179,12.0576,12.0678,21417.32,1606380239999,258813.883829,388,11968.36,144625.87396199998,0
1606380240000,12.0795,12.0795,11.9746,11.9919,44337.94,1606380299999,532920.653674,525,22426.2,269508.384225,0
1606380300000,12.0014,12.0044,11.9339,11.9738,28189.48,1606380359999,337654.40340300003,547,16263.23,194885.34333,0
1606380360000,11.9753,12.0263,11.8999,11.9103,36738.8,1606380419999,439734.776249,698,19702.04,235719.364111,0
1606380420000,11.9126,11.9811,11.8053,11.8109,26417.89,1606380479999,314635.955493,681,14611.06,174259.27500599998,0
1606380480000,11.8047,11.8999,11.7342,11.8498,46238.84,1606380539999,546683.1879939999,877,20407.99,241489.22041900002,0
1606380540000,11.8488,11.9105,11.8002,11.8116,36187.84,1606380599999,429389.811853,687,18575.17,220594.22972899998,0
1606380600000,11.8003,11.8275,11.6955,11.7505,41749.5,1606380659999,490841.932113,789,16990.35,200068.134774,0
1606380660000,11.7472,11.7512,11.52,11.6466,90053.12,1606380719999,1044927.6326129999,1468,36645.72,425669.649814,0
1606380720000,11.6529,11.7591,11.5651,11.7326,61752.81,1606380779999,720536.382202,1055,38177.14,445335.25140699995,0
1606380780000,11.7334,11.8419,11.7322,11.7651,35680.94,1606380839999,420301.440052,718,17142.52,202051.124258,0
1606380840000,11.7601,11.793,11.654000000000002,11.7759,34545.45,1606380899999,405055.89474200003,808,16520.83,193762.84485599998,0
1606380900000,11.7918,11.8931,11.7407,11.8325,37586.43,1606380959999,443937.507439,796,23045.39,272320.90703,0
1606380960000,11.8298,11.9209,11.8191,11.8999,33034.33,1606381019999,392136.399134,606,18038.39,214201.79707,0
1606381020000,11.8824,12.0323,11.8734,12.0199,52393.39,1606381079999,625869.691583,958,29185.98,348766.451202,0
1606381080000,12.0059,12.0464,11.8885,11.9393,39607.71,1606381139999,473864.536105,826,18095.94,216660.48687,0
1606381140000,11.9269,11.9803,11.9016,11.9521,33458.25,1606381199999,399482.305607,648,16858.92,201338.533527,0
1606381200000,11.9592,12.0,11.8904,11.9922,23948.63,1606381259999,286041.865002,606,10587.37,126665.153655,0
1606381260000,11.9919,12.0867,11.9899,12.0451,29242.7,1606381319999,352034.4403219999,732,16793.03,202150.246716,0
1606381320000,12.0277,12.1985,12.0277,12.1985,49464.28,1606381379999,598080.791762,815,20660.98,250491.78000100004,0
1606381380000,12.1953,12.2268,12.152000000000001,12.1906,27702.57,1606381439999,337549.50776999997,639,12858.49,156769.757262,0
1606381440000,12.197000000000001,12.2511,12.16,12.2031,35946.02,1606381499999,438413.20058100007,675,16710.06,203848.694193,0
1606381500000,12.2031,12.2182,12.0751,12.0814,34008.35,1606381559999,412893.593221,721,8862.28,107679.567153,0
1606381560000,12.0814,12.2095,12.0315,12.1552,43350.71,1606381619999,525330.832753,898,23652.21,286726.220784,0
1606381620000,12.1516,12.2166,12.1261,12.1262,23332.0,1606381679999,284053.46200500004,514,9353.24,113887.24619300001,0
1606381680000,12.1268,12.2527,12.1261,12.2486,19995.03,1606381739999,243968.322171,484,13551.73,165421.919442,0
1606381740000,12.2449,12.3221,12.2099,12.3221,24968.12,1606381799999,306014.622781,635,14988.0,183759.05639800002,0
1606381800000,12.3157,12.3704,12.2873,12.3221,22168.78,1606381859999,273328.02167399996,555,9302.36,114750.041945,0
1606381860000,12.3317,12.3332,12.2423,12.2429,41401.98,1606381919999,508221.865557,625,7852.16,96506.51154400001,0
1606381920000,12.2423,12.35,12.215,12.3443,27837.24,1606381979999,342380.875914,638,14150.48,174031.963182,0
1606381980000,12.3468,12.3509,12.3,12.3509,17046.01,1606382039999,210148.4061,412,9602.72,118394.103501,0
1606382040000,12.3511,12.43,12.3468,12.3931,26001.8,1606382099999,322275.358396,668,16856.05,208945.17228,0
1606382100000,12.3931,12.4435,12.3739,12.3739,29766.11,1606382159999,369429.51270300004,572,17376.32,215727.581935,0
1606382160000,12.3739,12.4182,12.3551,12.3566,22158.36,1606382219999,274239.12915500003,488,8618.77,106653.634948,0
1606382220000,12.3583,12.3758,12.2786,12.3439,36389.87,1606382279999,448323.670105,669,19957.48,245869.374406,0
1606382280000,12.3221,12.4158,12.3121,12.4066,20076.29,1606382339999,247989.095177,510,14183.68,175210.805617,0
1606382340000,12.402000000000001,12.4474,12.3994,12.4066,17372.42,1606382399999,215872.922215,457,9338.54,116087.00153,0
1606382400000,12.4064,12.4899,12.4014,12.4681,21250.34,1606382459999,264583.234166,462,14606.68,181852.929741,0
1606382460000,12.4601,12.4785,12.4054,12.42,16388.87,1606382519999,203963.43775399998,349,9521.29,118499.22587899999,0
1606382520000,12.4192,12.4376,12.3357,12.3543,21120.12,1606382579999,261516.983454,506,12075.02,149559.517869,0
1606382580000,12.3548,12.3548,12.2771,12.3219,32090.42,1606382639999,395214.857875,516,15172.29,186925.243051,0
1606382640000,12.3206,12.3845,12.3046,12.3618,14924.87,1606382699999,184442.43556500002,293,10794.56,133376.67083699998,0
1606382700000,12.3604,12.4046,12.3339,12.3815,19052.73,1606382759999,235676.092838,363,11788.06,145870.664606,0
1606382760000,12.3867,12.412,12.3383,12.3383,19166.72,1606382819999,237165.56088499998,402,10934.92,135371.910341,0
1606382820000,12.34,12.3422,12.2737,12.3386,17549.19,1606382879999,215961.167631,446,8304.57,102241.855222,0
1606382880000,12.3276,12.3459,12.2151,12.2532,25134.95,1606382939999,308528.287654,525,11778.2,144662.058898,0
1606382940000,12.2577,12.2664,12.1457,12.2487,22240.68,1606382999999,271501.34906,611,10848.31,132494.275274,0
1606383000000,12.2592,12.3245,12.1939,12.3244,27433.39,1606383059999,335850.94343499996,562,19819.48,242688.867613,0
1606383060000,12.3224,12.3743,12.2906,12.3409,19637.94,1606383119999,242216.68768200002,444,11920.58,147029.420488,0
1606383120000,12.3363,12.3489,12.2656,12.3023,22480.91,1606383179999,276626.97322,361,5918.67,72853.569053,0
1606383180000,12.3041,12.3262,12.235,12.2558,15419.34,1606383239999,189269.577994,369,9719.52,119330.993279,0
1606383240000,12.2565,12.308,12.2069,12.3077,14803.4,1606383299999,181185.147175,303,8173.08,100083.23952799999,0
1606383300000,12.2998,12.3087,12.2168,12.3059,14087.97,1606383359999,172643.019069,359,5719.53,70086.070979,0
