openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606379520000,72.7,72.8,71.65,72.52,11226.302759999999,1606379579999,809974.7599208,1655,4066.71862,293417.3212666,0
1606379580000,72.52,74.96,72.5,74.38,10591.90368,1606379639999,781153.199034,1745,6124.42296,451782.31597790006,0
1606379640000,74.38,74.89,73.87,74.44,12653.866390000001,1606379699999,940633.1175439002,1497,5224.34948,388635.61618659995,0
1606379700000,74.18,74.96,73.69,74.47,9577.2245,1606379759999,712999.3361043,1148,4395.61977,327429.8478204,0
1606379760000,74.47,74.64,74.07,74.34,7652.87706,1606379819999,569013.574458,980,3421.63952,254415.85557539997,0
1606379820000,74.3,74.52,73.51,73.63,4394.87352,1606379879999,325648.8000658,771,2044.1953399999998,151573.1688875,0
1606379880000,73.59,74.31,73.58,74.14,3875.94929,1606379939999,286958.72426109994,696,2356.65984,174469.65797539998,0
1606379940000,74.14,74.18,73.56,73.7,3679.2034799999997,1606379999999,271499.36576009996,506,2202.8171899999998,162472.84959549998,0
1606380000000,73.71,73.76,72.84,73.49,8316.44989,1606380059999,609791.3762765999,1216,4156.39294,304780.1954509,0
1606380060000,73.46,74.02,73.28,73.83,4826.9063700000015,1606380119999,355394.3114323,667,2581.91116,190034.6216124,0
1606380120000,73.89,74.35,73.86,74.19,3890.04533,1606380179999,288538.1954717,577,1433.79446,106342.5250962,0
1606380180000,74.24,74.31,74.11,74.31,4122.99557,1606380239999,305871.87829579995,441,1671.43639,124051.0267546,0
1606380240000,74.3,74.4,73.74,73.78,5639.3109799999975,1606380299999,418021.9262071,433,861.0137300000001,63841.800617400004,0
1606380300000,73.79,73.91,73.47,73.61,2493.52882,1606380359999,183703.8893597,418,877.1510699999999,64642.2954727,0
1606380360000,73.58,73.79,73.38,73.53,2208.50617,1606380419999,162601.6066408,414,1130.95821,83280.71223029999,0
1606380420000,73.53,73.67,73.08,73.1,4080.9356700000003,1606380479999,299759.7894689,556,1971.50625,144839.8651304,0
1606380480000,73.1,73.62,73.0,73.32,6261.58245,1606380539999,459356.34664239996,565,3808.9485200000004,279592.0176214,0
1606380540000,73.32,73.49,73.04,73.07,3785.4960899999996,1606380599999,277703.0466529001,436,2138.3229899999997,156947.3856255,0
1606380600000,73.04,73.21,72.65,72.85,4633.2516700000015,1606380659999,337805.27100370004,649,1813.1808399999998,132236.54390810002,0
1606380660000,72.82,73.0,71.84,72.92,8996.91395,1606380719999,651685.5580258,1352,4328.13923,313577.3191125,0
1606380720000,72.83,73.38,72.51,73.31,6351.5054,1606380779999,463371.5480896,1151,3066.20133,223860.6372322,0
1606380780000,73.34,73.93,73.25,73.31,5524.92505,1606380839999,406100.1252213,833,2226.73706,163676.3300499,0
1606380840000,73.29,73.49,72.93,73.36,4502.39935,1606380899999,329737.3483258,606,1995.9027199999998,146103.50423599998,0
1606380900000,73.35,73.9,73.14,73.7,5523.6672,1606380959999,406201.27141140006,599,2697.67322,198286.46683800002,0
1606380960000,73.6,74.29,73.6,74.26,3877.04544,1606381019999,286750.24059109995,506,1806.55487,133543.6553065,0
1606381020000,74.27,74.89,74.11,74.77,6606.76423,1606381079999,492112.0579410999,811,4108.96209,306153.05220050004,0
1606381080000,74.72,74.98,74.25,74.45,5047.51735,1606381139999,376356.1140621,683,1975.64013,147303.398803,0
1606381140000,74.39,74.62,74.11,74.51,2280.61208,1606381199999,169750.94453739998,492,1124.60601,83719.2847204,0
1606381200000,74.49,74.77,74.26,74.77,2260.82773,1606381259999,168617.08439509998,488,1144.22926,85356.9721063,0
1606381260000,74.75,75.17,74.73,75.01,4392.19229,1606381319999,329407.0847286,532,2251.34125,168773.09558670002,0
1606381320000,75.01,75.64,74.92,75.64,3851.9166700000014,1606381379999,290025.4452963,670,1706.0773100000001,128533.5967716,0
1606381380000,75.63,75.75,75.47,75.75,1993.1056,1606381439999,150677.5313259,427,867.4634300000001,65610.0862099,0
1606381440000,75.75,75.9,75.36,75.52,5418.04752,1606381499999,410062.444696,700,2966.80849,224622.40605089997,0
1606381500000,75.51,75.54,74.61,74.95,5288.8384399999995,1606381559999,397060.8540864,647,2827.51775,212162.0152282,0
1606381560000,74.94,75.41,74.42,75.1,5881.39627,1606381619999,441136.1320489,740,3438.93894,258015.89114570004,0
1606381620000,75.06,75.34,74.94,74.95,3300.424060000001,1606381679999,247922.85873920002,496,1366.3688300000001,102669.7866469,0
1606381680000,74.94,75.21,74.91,75.19,1330.62663,1606381739999,99843.5498413,328,699.03768,52459.3794349,0
1606381740000,75.25,75.38,75.06,75.32,2819.89709,1606381799999,212217.3890781,369,1399.48573,105327.8528484,0
1606381800000,75.33,75.69,75.31,75.53,2764.2304,1606381859999,208795.7057693,417,1140.9308199999996,86160.5863831,0
1606381860000,75.51,75.51,75.03,75.06,2507.84075,1606381919999,188787.5372884,372,1159.87308,87305.74770780001,0
1606381920000,75.03,75.45,74.92,75.3,2328.3339899999996,1606381979999,175192.5262383,353,1070.76659,80553.2178663,0
1606381980000,75.35,75.36,75.0,75.2,1478.8827099999999,1606382039999,111211.27580369999,253,733.33246,55139.0048724,0
1606382040000,75.23,75.45,75.18,75.31,2024.26231,1606382099999,152384.015602,265,1402.70077,105606.23664310001,0
1606382100000,75.3,75.46,75.24,75.27,1311.68147,1606382159999,98843.24963260001,213,559.94188,42206.16249059999,0
1606382160000,75.21,75.47,75.12,75.14,1358.4106,1606382219999,102307.9081346,277,603.70699,45466.2692523,0
1606382220000,75.14,75.22,74.68,74.82,3185.04193,1606382279999,238669.7367139,368,1509.1177300000006,113084.48944660001,0
1606382280000,74.79,74.91,74.66,74.87,1930.8067,1606382339999,144318.90238359998,238,1181.30944,88297.6592633,0
1606382340000,74.86,75.25,74.86,75.09,1755.95016,1606382399999,131851.8083298,218,1090.4673400000001,81900.5457858,0
1606382400000,75.09,75.46,75.08,75.36,1376.2961,1606382459999,103587.70000900001,224,902.28204,67926.7306246,0
1606382460000,75.38,75.5,75.28,75.36,2136.37538,1606382519999,161074.5896635,195,1243.58512,93768.3028617,0
1606382520000,75.35,75.45,74.92,74.96,2069.62451,1606382579999,155565.76683110002,275,1142.7072,85880.4288991,0
1606382580000,74.94,74.94,74.5,74.78,3743.85295,1606382639999,279867.28613829997,385,1700.86258,127159.84599100001,0
1606382640000,74.74,74.88,74.65,74.82,936.2950699999999,1606382699999,70031.6133695,145,573.49179,42898.74616230001,0
1606382700000,74.85,74.94,74.65,74.85,1563.55518,1606382759999,116928.6588056,248,685.75034,51272.5711215,0
1606382760000,74.88,74.91,74.33,74.33,2923.96263,1606382819999,218084.6796538,518,1569.32279,117016.2378693,0
1606382820000,74.34,74.35,74.01,74.35,2634.53661,1606382879999,195470.0250423,504,1106.83155,82153.8338103,0
1606382880000,74.32,74.5,73.86,74.01,3863.21347,1606382939999,286420.0135609,579,1570.81649,116498.49074649999,0
1606382940000,73.96,74.14,73.58,74.05,4487.7462799999985,1606382999999,331190.18733790005,683,2218.54147,163725.2752351,0
1606383000000,74.04,74.4,73.66,74.32,3707.9427,1606383059999,274437.49063220003,525,2067.44045,152974.9057988,0
1606383060000,74.37,74.71,74.12,74.45,4285.9088299999985,1606383119999,318891.63397559995,653,2135.4411600000008,158942.3237657,0
1606383120000,74.44,74.48,74.03,74.22,1839.67644,1606383179999,136662.6467076,327,741.28854,55090.0909103,0
1606383180000,74.25,74.3,73.85,73.88,2328.92692,1606383239999,172356.26925029999,348,1164.8891800000001,86198.3515617,0
1606383240000,73.89,73.99,73.61,73.91,2065.9001399999997,1606383299999,152415.91818870002,312,989.02885,73002.1446982,0
1606383300000,73.96,74.05,73.53,74.05,4798.24134,1606383359999,353787.9972735,482,2616.8000399999996,192839.2847508,0
1606383360000,74.0,74.02,73.6,73.7,3161.99045,1606383419999,233429.82487920002,299,1588.4384300000006,117203.1454068,0
1606383420000,73.73,74.1,73.59,74.0,1348.9101699999999,1606383479999,99535.92437899999,211,886.19525,65346.142610899995,0
1606383480000,74.0,74.48,73.99,74.17,3246.43746,1606383539999,241048.9787611,413,1406.13428,104425.8900929,0
1606383540000,74.18,74.48,74.16,74.3,1839.41554,1606383599999,136799.4757439,193,986.98144,73388.07810710001,0
1606383600000,74.36,74.37,74.04,74.14,3006.467280000001,1606383659999,223048.2265934,305,1734.17832,128665.3904213,0
1606383660000,74.18,74.18,73.82,74.13,2007.7096399999998,1606383719999,148614.6035596,213,1281.3696400000001,94869.90750660001,0
1606383720000,74.1,74.39,73.97,74.39,1550.99521,1606383779999,114986.1309445,209,922.66589,68425.0098401,0
1606383780000,74.39,74.69,74.35,74.69,1916.36944,1606383839999,142878.4742895,166,556.1967900000002,41464.169131099996,0
1606383840000,74.64,74.79,74.35,74.64,2337.0050100000008,1606383899999,174129.6144471,268,1444.1046800000001,107615.4026292,0
1606383900000,74.64,74.84,74.57,74.7,1202.30507,1606383959999,89809.5689121,123,472.37972,35291.6122075,0
1606383960000,74.73,74.91,74.68,74.81,1505.1327199999994,1606384019999,112586.487606,176,898.96995,67247.5210009,0
1606384020000,74.82,74.84,74.61,74.71,878.5370199999999,1606384079999,65649.6790226,126,374.78587999999996,28019.4545825,0
1606384080000,74.7,74.97,74.61,74.94,2717.95913,1606384139999,203363.92502750002,278,1759.62304,131629.7016696,0
1606384140000,74.94,75.12,74.86,74.91,2363.12864,1606384199999,177179.1958454,281,1312.62017,98422.8569643,0
