openTime,open,high,low,close,volume,closeTime,QuoteAssetVolume,NumberOfTrades,BaseTBAV,QuoteTBAV,Ignore
1606379520000,110.0,110.0,108.53,108.75,1145.95975,1606379579999,125245.21187389999,335,295.4840700000001,32183.9991717,0
1606379580000,108.89,110.17,108.79,110.17,704.58226,1606379639999,77049.77409980001,299,504.90858,55258.8411006,0
1606379640000,110.12,110.58,109.7,110.32,736.77546,1606379699999,81243.0846339,273,274.33378999999996,30277.903893900002,0
1606379700000,110.33,111.09,110.29,110.97,737.6476200000003,1606379759999,81567.08002560001,239,581.08097,64258.85945319999,0
1606379760000,111.02,111.27,110.79,110.82,384.03389,1606379819999,42665.2160079,154,143.51097,15946.542727700002,0
1606379820000,110.85,110.95,109.71,109.72,530.13398,1606379879999,58439.03395499999,161,251.30817000000002,27667.425230799996,0
1606379880000,109.7,110.52,109.65,110.23,420.34399,1606379939999,46279.869616100004,135,240.82147999999998,26506.570808400003,0
1606379940000,110.21,110.22,109.36,109.66,345.72954,1606379999999,37954.726515300004,186,150.79443,16544.7350588,0
1606380000000,109.6,110.17,109.47,109.98,573.16385,1606380059999,62947.159745599994,160,185.34649,20358.9544465,0
1606380060000,110.02,110.66,109.84,110.49,463.95785,1606380119999,51112.2808274,243,263.25334,29014.116199699998,0
1606380120000,110.59,111.69,110.58,111.48,279.36234,1606380179999,31067.658811299996,165,197.05319,21911.107145599995,0
1606380180000,111.61,111.66,111.06,111.19,403.50888,1606380239999,44899.345134699994,132,136.2118,15155.438121899999,0
1606380240000,111.19,111.26,110.56,110.66,230.03221000000002,1606380299999,25530.333454099997,102,80.16631,8905.4178386,0
1606380300000,110.6,110.64,110.17,110.31,407.05754,1606380359999,44942.275098699996,150,188.0037,20755.4442322,0
1606380360000,110.33,110.87,110.28,110.28,288.58821,1606380419999,31894.1715917,135,141.00987,15589.8074613,0
1606380420000,110.28,110.42,109.72,109.72,195.20539,1606380479999,21499.246654799997,90,77.24114,8515.091238699999,0
1606380480000,109.72,110.5,109.46,110.32,399.61622,1606380539999,43935.3587138,152,196.13669,21593.3928244,0
1606380540000,110.46,110.71,109.54,109.54,724.87649,1606380599999,79846.02704660001,182,106.93785,11793.747100499999,0
1606380600000,109.53,109.81,109.0,109.08,441.7099,1606380659999,48271.520080199996,144,141.71174,15522.412437600002,0
1606380660000,109.08,109.08,108.07,109.08,807.93783,1606380719999,87764.11355010001,178,301.5575,32731.3510884,0
1606380720000,108.97,109.9,108.67,109.68,325.95447,1606380779999,35594.7270259,136,203.76391999999998,22243.0148681,0
1606380780000,109.69,110.65,109.69,110.3,395.33179,1606380839999,43560.7339027,157,192.41498,21179.096593000002,0
1606380840000,110.26,110.31,109.35,110.31,573.22247,1606380899999,62996.24182919999,173,274.74171,30180.5047898,0
1606380900000,110.37,111.1,109.8,110.61,918.29505,1606380959999,101484.9996419,205,475.50492,52604.5362393,0
1606380960000,110.99,111.68,110.81,111.46,383.92131,1606381019999,42713.9287167,161,173.90569,19357.234092900002,0
1606381020000,111.4,112.43,111.39,112.43,578.6263299999998,1606381079999,64761.637807700004,184,291.14004,32599.696075099997,0
1606381080000,112.17,112.66,111.86,112.05,981.70693,1606381139999,110285.2406027,164,619.45199,69667.2360292,0
1606381140000,112.02,112.03,111.6,111.97,163.71685,1606381199999,18323.0137381,71,92.04684,10307.340334100001,0
1606381200000,111.84,111.92,111.49,111.88,284.87727,1606381259999,31816.692827099996,104,221.67594,24758.6511097,0
